feature,importance,absolute_value
cat__model_mustang,4.248602832568696e-06,4.248602832568696e-06
cat__model_sierra,3.6024483938811876e-06,3.6024483938811876e-06
cat__model_expedition,3.301505440459555e-06,3.301505440459555e-06
cat__model_civic,2.5380875976985325e-06,2.5380875976985325e-06
cat__model_odyssey,2.431390436689489e-06,2.431390436689489e-06
cat__model_sonata,2.035841386181561e-06,2.035841386181561e-06
cat__region_space coast,2.0158718656064434e-06,2.0158718656064434e-06
cat__model_malibu,1.8656513829957006e-06,1.8656513829957006e-06
cat__model_3 series,1.267637560652975e-06,1.267637560652975e-06
cat__region_delaware,1.1662988237040297e-06,1.1662988237040297e-06
cat__cylinders_3 cylinders,8.50156745260277e-07,8.50156745260277e-07
cat__manufacturer_saturn,6.404570758102488e-07,6.404570758102488e-07
cat__model_prius,6.02153788284225e-07,6.02153788284225e-07
cat__model_soul,6.013922720770955e-07,6.013922720770955e-07
cat__state_de,5.914308236603846e-07,5.914308236603846e-07
cat__model_forester,3.7733394853433954e-07,3.7733394853433954e-07
cat__model_outback,3.4615207033570224e-07,3.4615207033570224e-07
cat__model_jetta,6.664852418666576e-08,6.664852418666576e-08
cat__manufacturer_mercury,0.0,0.0
cat__manufacturer_Other,0.0,0.0
num__posting_year,0.0,0.0
cat__condition_Other,0.0,0.0
cat__type_Other,0.0,0.0
cat__title_status_Other,0.0,0.0
cat__paint_color_Other,0.0,0.0
cat__state_Other,0.0,0.0
