region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long,description_length,posting_year,posting_month,car_age,odometer_per_year,is_high_mileage,manufacturer_frequency
little rock,21590,2019.0,volkswagen,Other,good,Unknown,gas,7898.0,clean,other,fwd,Unknown,sedan,blue,ar,34.72,-92.35,4664,2021.0,4.0,2.0,3949.0,0,0.02345
reno / tahoe,3900,2004.0,nissan,Unknown,good,Unknown,gas,176000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ca,39.478473,-119.785309,530,2021.0,5.0,17.0,10352.941176470587,1,0.04915
south florida,32900,2017.0,mercedes-benz,e-class,Unknown,4 cylinders,gas,46848.0,clean,automatic,4wd,mid-size,sedan,green,fl,26.326209,-80.199007,8384,2021.0,5.0,4.0,11712.0,0,0.03715
ft myers / SW florida,17995,2015.0,toyota,rav4,Unknown,Unknown,gas,89869.0,clean,automatic,fwd,Unknown,wagon,red,fl,26.657967,-81.844788,1411,2021.0,4.0,6.0,14978.166666666666,0,0.09435
atlanta,4300,2007.0,honda,civic,Unknown,Unknown,diesel,173000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ga,34.462,-84.4759,200,2021.0,5.0,14.0,12357.142857142857,1,0.0545
western slope,5999,2005.0,chrysler,Other,good,4 cylinders,gas,47200.0,clean,automatic,fwd,compact,hatchback,brown,co,37.2523,-107.0385,105,2021.0,4.0,16.0,2950.0,0,0.0129
SF bay area,37988,2018.0,chevrolet,Other,excellent,6 cylinders,gas,23744.0,clean,automatic,fwd,full-size,SUV,silver,ca,38.62176,-122.87297,3123,2021.0,5.0,3.0,7914.666666666667,0,0.11195
sarasota-bradenton,3000,1997.0,Unknown,Other,Unknown,8 cylinders,gas,170000.0,clean,automatic,rwd,mid-size,pickup,white,fl,26.727006,-81.889765,181,2021.0,5.0,24.0,7083.333333333333,1,0.04385
sacramento,28590,2017.0,mazda,Other,good,Unknown,gas,6958.0,clean,other,rwd,Unknown,other,Unknown,ca,38.58,-121.49,4446,2021.0,5.0,4.0,1739.5,0,0.0144
hartford,23495,2016.0,toyota,tacoma,Unknown,Unknown,gas,152803.0,clean,automatic,4wd,Unknown,pickup,black,ct,40.894535,-74.152367,2375,2021.0,4.0,5.0,30560.6,1,0.09435
colorado springs,29590,2015.0,chevrolet,Other,good,Unknown,other,43874.0,clean,other,Unknown,Unknown,pickup,Unknown,co,38.82108,-104.82311,4419,2021.0,4.0,6.0,7312.333333333333,0,0.11195
hawaii,28888,2018.0,kia,Other,like new,6 cylinders,gas,13756.0,clean,automatic,fwd,full-size,SUV,silver,hi,20.888242,-156.45896,2376,2021.0,5.0,3.0,4585.333333333333,0,0.0204
